model,transition,MAE_before,MAE_after,delta_MAE,delta_MAE_pct,delta_RMSE_pct,train_time_ratio
XGBoost,1 -> 2 weeks,7.981201633274984,7.697209622362535,-0.2839920109124492,-3.558261324064766,-0.03543943774773051,1.0794381242700999
XGBoost,2 -> 4 weeks,7.697209622362535,7.558166594814054,-0.13904302754848086,-1.8064082228515927,-7.362359518411178,1.3552814131976714
XGBoost,4 -> 8 weeks,7.558166594814054,8.92091070147727,1.3627441066632162,18.030088243863887,16.377779913130016,1.636004094034545
XGBoost,8 -> 12 weeks,8.92091070147727,8.607291134998952,-0.3136195664783177,-3.5155554962161366,-6.982717564091645,1.3026827396120955
LightGBM,1 -> 2 weeks,7.093169307247148,7.513953844571701,0.4207845373245531,5.932250015442803,19.412940932371587,0.9715255338128422
LightGBM,2 -> 4 weeks,7.513953844571701,7.630832640873375,0.1168787963016733,1.5554899420377721,1.2559438411736363,1.077068837432585
LightGBM,4 -> 8 weeks,7.630832640873375,9.320971338394413,1.6901386975210384,22.148810975988017,22.201451253561387,1.184043406653985
LightGBM,8 -> 12 weeks,9.320971338394413,9.824716799222312,0.5037454608278988,5.404430960461163,8.181724978103443,1.2208543594508763
