history_window,model,n_folds,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,training_time_mean,inference_time_mean
1,LightGBM,10,6.273606545773684,3.8605409494582257,8.124123705601878,5.514516832271369,0.02864406651213779,0.6047722321435884,0.008196504199804621,0.0002810289999615634
2,LightGBM,10,6.333491393118928,4.755736243379215,8.34856924872607,7.153716961104256,0.1814328532789283,0.45463478231698234,0.007985541699963506,0.0003014582016476197
4,LightGBM,10,6.22917401482178,4.667242168787188,8.380036102855442,7.3704171208662235,0.22827448191685473,0.35007690787673373,0.008993883399307378,0.00031093749930732884
8,LightGBM,10,6.888708020672018,5.925002907895253,9.348784671838104,9.12239858964483,0.18951340332614675,0.3260616508040798,0.010744945900660241,0.00031858750044193583
12,LightGBM,10,7.1748954069744695,6.363118589302403,9.624475309998559,9.504968204552222,0.14305959209764652,0.3845916103129349,0.012777350100441254,0.00033111220072896687
1,Persistence (baseline),10,6.3307692307692305,4.11313541859846,8.346375659485675,6.041835442803939,0.03764590645953456,0.5712731643823491,0.0,0.0
2,Persistence (baseline),10,6.3307692307692305,4.11313541859846,8.346375659485675,6.041835442803939,0.03764590645953456,0.5712731643823491,0.0,0.0
4,Persistence (baseline),10,6.3307692307692305,4.11313541859846,8.346375659485675,6.041835442803939,0.03764590645953456,0.5712731643823491,0.0,0.0
8,Persistence (baseline),10,6.3307692307692305,4.11313541859846,8.346375659485675,6.041835442803939,0.03764590645953456,0.5712731643823491,0.0,0.0
12,Persistence (baseline),10,6.3307692307692305,4.11313541859846,8.346375659485675,6.041835442803939,0.03764590645953456,0.5712731643823491,0.0,0.0
1,XGBoost,10,6.648702022662529,4.601654189118219,8.80185688394484,7.084614915087985,0.008108855501226952,0.5821967964510919,0.013020524899548035,0.00023496259964304045
2,XGBoost,10,6.3865270055257355,4.889672783252574,8.513838143289993,7.614818199125755,0.17598068164022895,0.4480932844742329,0.013482587500038789,0.00025930859992513434
4,XGBoost,10,6.37422928901819,4.863074077770832,8.523589242558506,7.222197266213588,0.20498321305090222,0.3693411338141483,0.019867054199858104,0.00028958350085304117
8,XGBoost,10,7.011168995270362,5.924747584054644,9.309961322916447,8.681203355981804,0.15440313785879484,0.35784284770517094,0.032543924999481534,0.00034284180037502665
12,XGBoost,10,6.873144166286176,5.308605729594976,8.944488174582025,7.58244016923404,0.11304964539456093,0.4693348318306786,0.04288776240027801,0.0004028542003652547
