model,window_a,window_b,fold,MAE_a,MAE_b,diff
LightGBM,1,2,5,3.7930760668641246,3.6382819187078557,0.1547941481562689
LightGBM,1,2,6,5.268299132589005,4.753955133656863,0.5143439989321426
LightGBM,1,2,7,6.154827742734133,5.542990036375945,0.6118377063581883
LightGBM,1,2,8,3.594121041508736,3.689635951724024,-0.09551491021528813
LightGBM,1,2,9,3.397229018853375,3.3091099802133432,0.0881190386400319
LightGBM,1,2,10,13.131930765448592,15.165814114278614,-2.033883348830022
LightGBM,1,2,11,11.939083544434943,10.714474520210475,1.2246090242244687
LightGBM,1,2,12,4.370732609938567,4.023072054038166,0.3476605559004007
LightGBM,1,2,13,2.5404931818542624,2.3785827048338537,0.16191047702040873
LightGBM,1,2,14,2.97376644559529,2.6697127205762334,0.3040537250190565
LightGBM,1,2,15,7.414014497706071,6.028846054606243,1.3851684430998281
LightGBM,1,2,16,3.9772873448139285,4.077444276547289,-0.10015693173336038
LightGBM,1,2,17,6.826725159157902,5.902593848743318,0.9241313104145839
LightGBM,1,2,18,14.279462855696094,15.909270236599825,-1.6298073809037312
LightGBM,1,2,19,14.9127961913262,18.802005821331285,-3.8892096300050856
LightGBM,1,2,20,3.207893214759977,3.1923354972272007,0.015557717532776127
LightGBM,1,4,0,3.0856414663357397,2.5349855203578575,0.5506559459778821
LightGBM,1,4,1,3.1445924725610004,2.260766381164652,0.8838260913963483
LightGBM,1,4,2,5.86049276299645,5.471581890535943,0.3889108724605066
LightGBM,1,4,3,5.672681513717307,5.464475115100179,0.20820639861712742
LightGBM,1,4,4,4.401751120120776,4.112706458853738,0.2890446612670381
LightGBM,1,4,5,3.7930760668641246,3.280782486317537,0.5122935805465874
LightGBM,1,4,6,5.268299132589005,4.553089387039074,0.7152097455499318
LightGBM,1,4,7,6.154827742734133,5.069987660018616,1.084840082715517
LightGBM,1,4,8,3.594121041508736,3.296594531257069,0.2975265102516671
LightGBM,1,4,9,3.397229018853375,3.636520235031839,-0.23929121617846372
LightGBM,1,4,10,13.131930765448592,16.478862861556525,-3.346932096107933
LightGBM,1,4,11,11.939083544434943,9.216811103763408,2.722272440671535
LightGBM,1,4,12,4.370732609938567,4.305229114347255,0.06550349559131163
LightGBM,1,4,13,2.5404931818542624,2.3494571764569168,0.19103600539734567
LightGBM,1,4,14,2.97376644559529,2.97740511929968,-0.003638673704390083
LightGBM,1,4,15,7.414014497706071,6.582779285740695,0.8312352119653763
LightGBM,1,4,16,3.9772873448139285,3.686039989587096,0.29124735522683265
LightGBM,1,4,17,6.826725159157902,5.802958484329974,1.023766674827928
LightGBM,1,4,18,14.279462855696094,16.075598739109754,-1.79613588341366
LightGBM,1,4,19,14.9127961913262,15.87719468421987,-0.96439849289367
LightGBM,1,4,20,3.207893214759977,3.179961991197847,0.027931223562129848
LightGBM,2,4,0,3.0198168592398877,2.5349855203578575,0.4848313388820302
LightGBM,2,4,1,2.7778126948114976,2.260766381164652,0.5170463136468455
LightGBM,2,4,2,5.55763312562206,5.471581890535943,0.08605123508611712
LightGBM,2,4,3,5.761433879186265,5.464475115100179,0.296958764086086
LightGBM,2,4,4,3.631604944568658,4.112706458853738,-0.4811015142850805
LightGBM,2,4,5,3.6382819187078557,3.280782486317537,0.35749943239031845
LightGBM,2,4,6,4.753955133656863,4.553089387039074,0.20086574661778922
LightGBM,2,4,7,5.542990036375945,5.069987660018616,0.47300237635732856
LightGBM,2,4,8,3.689635951724024,3.296594531257069,0.3930414204669552
LightGBM,2,4,9,3.3091099802133432,3.636520235031839,-0.3274102548184956
LightGBM,2,4,10,15.165814114278614,16.478862861556525,-1.3130487472779109
LightGBM,2,4,11,10.714474520210475,9.216811103763408,1.4976634164470664
LightGBM,2,4,12,4.023072054038166,4.305229114347255,-0.28215706030908905
LightGBM,2,4,13,2.3785827048338537,2.3494571764569168,0.029125528376936938
LightGBM,2,4,14,2.6697127205762334,2.97740511929968,-0.30769239872344656
LightGBM,2,4,15,6.028846054606243,6.582779285740695,-0.5539332311344518
LightGBM,2,4,16,4.077444276547289,3.686039989587096,0.391404286960193
LightGBM,2,4,17,5.902593848743318,5.802958484329974,0.09963536441334409
LightGBM,2,4,18,15.909270236599825,16.075598739109754,-0.1663285025099288
LightGBM,2,4,19,18.802005821331285,15.87719468421987,2.9248111371114156
LightGBM,2,4,20,3.1923354972272007,3.179961991197847,0.01237350602935372
