fold,history_window,model,MAE,RMSE,R2,training_time,inference_time,n_train,n_test,fold_test_start,fold_test_end
16,1,LightGBM,3.9772873448139285,5.169888679402857,-0.7644490522670351,0.008668791000673082,0.00023720799799775705,854,13,2006-12-17,2007-03-12
17,1,Persistence (baseline),6.769230769230769,7.775701798650618,0.20209276901452455,0.0,0.0,867,13,2007-03-19,2007-06-11
17,1,XGBoost,6.801744094261756,7.481598903062764,0.2613102887141667,0.013176292002754053,0.00022066599922254682,867,13,2007-03-19,2007-06-11
17,1,LightGBM,6.826725159157902,7.601230204028255,0.23749801625232636,0.008658333001221763,0.00023829199926694855,867,13,2007-03-19,2007-06-11
18,1,Persistence (baseline),12.153846153846153,17.47965850748983,0.6192147724255921,0.0,0.0,880,13,2007-06-18,2007-09-10
18,1,XGBoost,16.160344784076397,22.713013407231465,0.35706995893730353,0.01324729200132424,0.00022645900025963783,880,13,2007-06-18,2007-09-10
18,1,LightGBM,14.279462855696094,18.87325470663649,0.5560768369336715,0.008598167001764523,0.00023254199913935736,880,13,2007-06-18,2007-09-10
19,1,Persistence (baseline),19.0,26.911535987950767,0.6965839510151466,0.0,0.0,893,13,2007-09-17,2007-12-10
19,1,XGBoost,17.24217121417706,30.402563256187552,0.6127584246501995,0.013144417000148678,0.00021908299822825938,893,13,2007-09-17,2007-12-10
19,1,LightGBM,14.9127961913262,23.112573408196763,0.7762009782745506,0.00887404200329911,0.00024112499886541627,893,13,2007-09-17,2007-12-10
20,1,Persistence (baseline),2.769230769230769,3.328201177351375,0.6193574623830826,0.0,0.0,906,13,2007-12-17,2008-03-11
20,1,XGBoost,3.19635794712947,3.8014651509723847,0.503407441501481,0.013194082999689272,0.0002144169993698597,906,13,2007-12-17,2008-03-11
20,1,LightGBM,3.207893214759977,3.8065614676415,0.5020750660895326,0.008754208000027575,0.00023074999990058132,906,13,2007-12-17,2008-03-11
0,2,Persistence (baseline),2.769230769230769,3.6584990617212663,-1.098330241187384,0.0,0.0,646,13,2002-12-17,2003-03-12
0,2,XGBoost,2.919006421015813,3.5056583782360025,-0.926669083828823,0.013107750000926899,0.00023916699865367264,646,13,2002-12-17,2003-03-12
0,2,LightGBM,3.0198168592398877,3.556994736427509,-0.9835099747592189,0.007469583000784041,0.0002475830006005708,646,13,2002-12-17,2003-03-12
1,2,Persistence (baseline),2.5384615384615383,3.584153156068229,-0.31735436893203883,0.0,0.0,659,13,2003-03-19,2003-06-11
1,2,XGBoost,2.854819187751183,3.6815302401663295,-0.38990859809757095,0.013009999998757849,0.0002545409988670144,659,13,2003-03-19,2003-06-11
1,2,LightGBM,2.7778126948114976,3.597667723513019,-0.327307648815802,0.007508833001338644,0.00025725000159582123,659,13,2003-03-19,2003-06-11
2,2,Persistence (baseline),5.6923076923076925,6.373020054525532,0.16026425250795195,0.0,0.0,672,13,2003-06-18,2003-09-10
2,2,XGBoost,5.476284687335674,6.2228017837999055,0.19938447702002726,0.013372875000641216,0.0002513330000510905,672,13,2003-06-18,2003-09-10
2,2,LightGBM,5.55763312562206,6.294906266337132,0.18072329478431426,0.007574250001198379,0.00025179200019920245,672,13,2003-06-18,2003-09-10
3,2,Persistence (baseline),5.461538461538462,6.366982137438548,0.14018574297188757,0.0,0.0,685,13,2003-09-17,2003-12-10
3,2,XGBoost,5.611599995539739,6.507614917454207,0.10178341196731211,0.013262917000247398,0.00025004100098158233,685,13,2003-09-17,2003-12-10
3,2,LightGBM,5.761433879186265,6.598055454294978,0.07664373161723892,0.007645582998520695,0.0002553330014052335,685,13,2003-09-17,2003-12-10
4,2,Persistence (baseline),4.769230769230769,5.629592142625227,-0.08729192042224931,0.0,0.0,698,13,2003-12-17,2004-03-11
4,2,XGBoost,3.8410089566157413,4.593480882426537,0.2761040888530544,0.013256292000733083,0.00024479199782945216,698,13,2003-12-17,2004-03-11
4,2,LightGBM,3.631604944568658,4.323055683467735,0.35882887438909983,0.007678541998757282,0.000252041998464847,698,13,2003-12-17,2004-03-11
5,2,Persistence (baseline),3.3846153846153846,4.076197322920545,-0.09601873536299754,0.0,0.0,711,13,2004-03-18,2004-06-10
5,2,XGBoost,3.6505937576293945,4.1304704010070274,-0.12539921505760399,0.013755499996477738,0.0002539159977459349,711,13,2004-03-18,2004-06-10
5,2,LightGBM,3.6382819187078557,4.105973402997824,-0.11208976270695348,0.007845666001230711,0.0002536249994591344,711,13,2004-03-18,2004-06-10
6,2,Persistence (baseline),5.538461538461538,6.9724733499228675,-1.3261608154020381,0.0,0.0,724,13,2004-06-17,2004-09-09
6,2,XGBoost,4.799909848433274,6.363432124509748,-0.9375318120464342,0.0133425839994743,0.0002459169991197996,724,13,2004-06-17,2004-09-09
6,2,LightGBM,4.753955133656863,6.267475442078099,-0.8795387832621167,0.007765792001009686,0.00025579200155334547,724,13,2004-06-17,2004-09-09
7,2,Persistence (baseline),6.461538461538462,8.00960961307392,-0.8822916666666667,0.0,0.0,737,13,2004-09-16,2004-12-09
7,2,XGBoost,5.2946074192340555,7.0581299925424,-0.4616504565251549,0.01343783299671486,0.00025045900110853836,737,13,2004-09-16,2004-12-09
7,2,LightGBM,5.542990036375945,7.245023068115008,-0.540081721270945,0.00788299999840092,0.0002562080007919576,737,13,2004-09-16,2004-12-09
8,2,Persistence (baseline),3.230769230769231,4.437601569801833,-0.526605504587156,0.0,0.0,750,13,2004-12-16,2005-03-12
8,2,XGBoost,3.656830567580003,4.4429958190971615,-0.5303191754123906,0.013392458997259382,0.0002499590009392705,750,13,2004-12-16,2005-03-12
8,2,LightGBM,3.689635951724024,4.53251766777023,-0.5926092078264813,0.007838166999135865,0.0002534580016799737,750,13,2004-12-16,2005-03-12
9,2,Persistence (baseline),3.5384615384615383,4.385290096535146,0.316365166175852,0.0,0.0,763,13,2005-03-19,2005-06-11
9,2,XGBoost,3.274659890394944,3.997271164448349,0.43199161278922726,0.013594000000011874,0.0002454999994370155,763,13,2005-03-19,2005-06-11
9,2,LightGBM,3.3091099802133432,4.096060455046124,0.4035689521486413,0.007919874999060994,0.00025316600294900127,763,13,2005-03-19,2005-06-11
10,2,Persistence (baseline),12.846153846153847,16.661794159555107,0.830135190911,0.0,0.0,776,13,2005-06-18,2005-09-10
10,2,XGBoost,15.447154265183668,18.481617164742435,0.7910031091698349,0.013484125000104541,0.00024654200024087913,776,13,2005-06-18,2005-09-10
10,2,LightGBM,15.165814114278614,19.842459355280884,0.7590921873775367,0.007976291999511886,0.000258250001934357,776,13,2005-06-18,2005-09-10
11,2,Persistence (baseline),10.384615384615385,13.958730380881846,0.5238446411012783,0.0,0.0,789,13,2005-09-17,2005-12-10
11,2,XGBoost,11.8028931250939,15.744565287555185,0.3942154578069754,0.01375854100115248,0.0002464580029482022,789,13,2005-09-17,2005-12-10
11,2,LightGBM,10.714474520210475,14.088056787019363,0.5149806937678045,0.00815633399906801,0.00025483300123596564,789,13,2005-09-17,2005-12-10
12,2,Persistence (baseline),4.230769230769231,5.356520110324211,-0.05138768430182128,0.0,0.0,802,13,2005-12-17,2006-03-12
12,2,XGBoost,3.9168782967787523,4.869991579908149,0.13093186469306384,0.013637374999234453,0.0002450419997330755,802,13,2005-12-17,2006-03-12
12,2,LightGBM,4.023072054038166,4.955754796246332,0.10005280865402644,0.008209999999962747,0.0002537500004109461,802,13,2005-12-17,2006-03-12
13,2,Persistence (baseline),2.1538461538461537,3.012793235010175,-0.5278884462151396,0.0,0.0,815,13,2006-03-19,2006-06-11
13,2,XGBoost,2.3127494958730845,2.9528963196276545,-0.4677408744875722,0.013692040996829746,0.0002449999992677476,815,13,2006-03-19,2006-06-11
13,2,LightGBM,2.3785827048338537,2.9564029441138104,-0.47122888863152634,0.008256042001448805,0.000252875001024222,815,13,2006-03-19,2006-06-11
14,2,Persistence (baseline),3.769230769230769,4.480727962834061,0.3590857574612769,0.0,0.0,828,13,2006-06-18,2006-09-10
14,2,XGBoost,2.6663629825298605,3.35417085162771,0.6408522676194535,0.01385587500044494,0.00025020799876074307,828,13,2006-06-18,2006-09-10
14,2,LightGBM,2.6697127205762334,3.3412195521332357,0.6436204329147708,0.008313834001455689,0.0002489590006007347,828,13,2006-06-18,2006-09-10
15,2,Persistence (baseline),7.615384615384615,9.515170074069172,-1.2621230041395628,0.0,0.0,841,13,2006-09-17,2006-12-10
15,2,XGBoost,6.148656331575834,7.3247320278447186,-0.34049928714888833,0.013631500001793029,0.0002372920025663916,841,13,2006-09-17,2006-12-10
15,2,LightGBM,6.028846054606243,7.1747062764880205,-0.28614921880620137,0.008353416000318248,0.0002557090010668617,841,13,2006-09-17,2006-12-10
16,2,Persistence (baseline),4.3076923076923075,5.643239658755761,-1.1023437499999997,0.0,0.0,854,13,2006-12-17,2007-03-12
16,2,XGBoost,4.131301146287185,4.965442986082419,-0.6276564312960664,0.014053999999305233,0.0002452080007060431,854,13,2006-12-17,2007-03-12
