model,window_a,window_b,n_folds,mean_diff,std_diff,wins_a,wins_b,ties,win_rate_a_pct
LightGBM,1,2,21,-0.028548963051734683,1.1818481825751659,6,15,0,28.571428571428573
LightGBM,1,4,21,0.17776713970128327,1.1711077869631874,5,16,0,23.80952380952381
LightGBM,2,4,21,0.20631610275301795,0.8301701544528988,7,14,0,33.333333333333336
XGBoost,1,2,21,0.29445709850325247,0.6890453358966541,4,17,0,19.047619047619047
XGBoost,1,4,21,0.28229692392733535,0.6797079838182322,6,15,0,28.571428571428573
XGBoost,2,4,21,-0.012160174575917237,0.7480680498308805,10,11,0,47.61904761904762
