fold,history_window,model,MAE,RMSE,R2,training_time,inference_time,n_train,n_test,fold_test_start,fold_test_end
3,2,XGBoost,5.020698565703172,6.6897777140457,-0.5936110979572031,0.01338416599901393,0.0002563339985499624,724,26,2004-06-17,2004-12-09
3,2,LightGBM,5.122900287702466,6.733465554536569,-0.6144933344349031,0.00793054200039478,0.000304083001537947,724,26,2004-06-17,2004-12-09
4,2,Persistence (baseline),3.3846153846153846,4.411523371981436,0.18649517684887462,0.0,0.0,750,26,2004-12-16,2005-06-11
4,2,XGBoost,3.44412938448099,4.178728448577095,0.27008672408257894,0.013450999998894986,0.00026775000151246786,750,26,2004-12-16,2005-06-11
4,2,LightGBM,3.4850242519253576,4.284142506816646,0.23279613748144123,0.007878291999077192,0.0002998330019181594,750,26,2004-12-16,2005-06-11
5,2,Persistence (baseline),11.615384615384615,15.369800559238536,0.8277161154456949,0.0,0.0,776,26,2005-06-18,2005-12-10
5,2,XGBoost,13.154212144704966,16.676067695566854,0.797187139620483,0.0134880420009722,0.00025754200032679364,776,26,2005-06-18,2005-12-10
5,2,LightGBM,12.748076095564167,16.823488523904526,0.7935854515930009,0.007985374999407213,0.000308165999740595,776,26,2005-06-18,2005-12-10
6,2,Persistence (baseline),3.1923076923076925,4.345643264767069,0.10458020621449104,0.0,0.0,802,26,2005-12-17,2006-06-11
6,2,XGBoost,3.104787899897649,4.02638978223859,0.23131186626384526,0.013659041000209982,0.00026029199943877757,802,26,2005-12-17,2006-06-11
6,2,LightGBM,3.1921054300748057,4.083609038719634,0.20930888405469705,0.00818983299905085,0.00029804200312355533,802,26,2005-12-17,2006-06-11
7,2,Persistence (baseline),5.6923076923076925,7.43691416568003,-0.41514004542013616,0.0,0.0,828,26,2006-06-18,2006-12-10
7,2,XGBoost,4.416967465327336,5.688527171584281,0.17203199189506446,0.01378787499925238,0.00026004200117313303,828,26,2006-06-18,2006-12-10
7,2,LightGBM,4.380862177607091,5.600291567078919,0.19751826002514805,0.008266749999165768,0.0003073330008191988,828,26,2006-06-18,2006-12-10
8,2,Persistence (baseline),5.538461538461538,6.793662204867575,-0.0057702846458851376,0.0,0.0,854,26,2006-12-17,2007-06-11
8,2,XGBoost,5.041016633693989,6.138961630634184,0.17873986866891667,0.013838541999575682,0.00027229199986322783,854,26,2006-12-17,2007-06-11
8,2,LightGBM,4.985664448220731,6.0844891286859255,0.19324968959744293,0.008397917001275346,0.0003026250014954712,854,26,2006-12-17,2007-06-11
9,2,Persistence (baseline),15.576923076923077,22.691069066586866,0.6771380230267185,0.0,0.0,880,26,2007-06-18,2007-12-10
9,2,XGBoost,17.44799518585205,27.325548773308167,0.5317855945210326,0.013783124999463325,0.00024645899975439534,880,26,2007-06-18,2007-12-10
9,2,LightGBM,17.195161332494997,25.55316013516415,0.5905543895879797,0.008416291999310488,0.0002990829998452682,880,26,2007-06-18,2007-12-10
0,4,Persistence (baseline),2.6538461538461537,3.621516894256413,-0.5969020172910664,0.0,0.0,646,26,2002-12-17,2003-06-11
0,4,XGBoost,2.3687118750352125,3.1592412348071055,-0.21524212922927521,0.019310832998598926,0.00028004200066789053,646,26,2002-12-17,2003-06-11
0,4,LightGBM,2.4277724272728256,3.164057203900153,-0.2189500001688507,0.008365041998331435,0.0002993339985550847,646,26,2002-12-17,2003-06-11
1,4,Persistence (baseline),5.576923076923077,6.370001811375181,0.4334166442897569,0.0,0.0,672,26,2003-06-18,2003-12-10
1,4,XGBoost,5.815290891207182,6.882064632970372,0.3386639538559897,0.01916233399970224,0.0002774170025077183,672,26,2003-06-18,2003-12-10
1,4,LightGBM,5.496181791737685,6.337716464508783,0.4391453661304636,0.008800791998510249,0.00031008400037535466,672,26,2003-06-18,2003-12-10
2,4,Persistence (baseline),4.076923076923077,4.914656259988703,0.1727212848963875,0.0,0.0,698,26,2003-12-17,2004-06-10
2,4,XGBoost,3.818365977360652,4.490340130954726,0.30940404132523414,0.01935366700126906,0.0002899170031014364,698,26,2003-12-17,2004-06-10
2,4,LightGBM,3.7298108977706215,4.438619629114525,0.3252212247410712,0.008606041999883018,0.0003134580001642462,698,26,2003-12-17,2004-06-10
3,4,Persistence (baseline),6.0,7.508968996114938,-1.0077960387694902,0.0,0.0,724,26,2004-06-17,2004-12-09
3,4,XGBoost,4.848047329829289,6.54285699526073,-0.524382053226518,0.01939012499860837,0.000288792001811089,724,26,2004-06-17,2004-12-09
3,4,LightGBM,4.775748286120928,6.2571475714116405,-0.39415726473691914,0.008759082997130463,0.00030945799881010316,724,26,2004-06-17,2004-12-09
4,4,Persistence (baseline),3.3846153846153846,4.411523371981436,0.18649517684887462,0.0,0.0,750,26,2004-12-16,2005-06-11
4,4,XGBoost,3.433436467097356,4.271545292083521,0.23730132035314622,0.019432790999417193,0.000284250003460329,750,26,2004-12-16,2005-06-11
4,4,LightGBM,3.4458814822928963,4.2177033462676725,0.2564074606992677,0.008954249999078456,0.0003196669968019705,750,26,2004-12-16,2005-06-11
5,4,Persistence (baseline),11.615384615384615,15.369800559238536,0.8277161154456949,0.0,0.0,776,26,2005-06-18,2005-12-10
5,4,XGBoost,15.297595831064077,20.7704436729887,0.6853702839837974,0.019833999998809304,0.0002895829966291785,776,26,2005-06-18,2005-12-10
5,4,LightGBM,12.860474274224275,17.439646619684396,0.7781887586174725,0.008833709001919487,0.00031595799737260677,776,26,2005-06-18,2005-12-10
6,4,Persistence (baseline),3.1923076923076925,4.345643264767069,0.10458020621449104,0.0,0.0,802,26,2005-12-17,2006-06-11
6,4,XGBoost,3.079475210263179,3.902396060912656,0.27792678466934206,0.019880167001247173,0.00029400000130408444,802,26,2005-12-17,2006-06-11
6,4,LightGBM,3.35754629661193,4.046205516027568,0.2237271055143455,0.009020416000566911,0.00030783300098846667,802,26,2005-12-17,2006-06-11
7,4,Persistence (baseline),5.6923076923076925,7.43691416568003,-0.41514004542013616,0.0,0.0,828,26,2006-06-18,2006-12-10
7,4,XGBoost,4.855547409791213,6.232480238251568,0.0061159914438793095,0.021158083000045735,0.00029258399808895774,828,26,2006-06-18,2006-12-10
7,4,LightGBM,4.794591492427177,6.122561244145296,0.04086407330440722,0.009389291997649707,0.0003052079991903156,828,26,2006-06-18,2006-12-10
8,4,Persistence (baseline),5.538461538461538,6.793662204867575,-0.0057702846458851376,0.0,0.0,854,26,2006-12-17,2007-06-11
8,4,XGBoost,4.716841000777024,5.778481908352584,0.2723568956627159,0.02014137500009383,0.00029304200143087655,854,26,2006-12-17,2007-06-11
8,4,LightGBM,4.757707279508904,5.851941297622474,0.253738865324976,0.009316542000306072,0.00030441700073424727,854,26,2006-12-17,2007-06-11
9,4,Persistence (baseline),15.576923076923077,22.691069066586866,0.6771380230267185,0.0,0.0,880,26,2007-06-18,2007-12-10
9,4,XGBoost,15.508980897756723,23.206042259003105,0.6623170416707105,0.021007167000789195,0.00030620799952885136,880,26,2007-06-18,2007-12-10
9,4,LightGBM,16.646025920250555,25.924762135871912,0.5785592297423133,0.009893665999697987,0.0003239580000808928,880,26,2007-06-18,2007-12-10
0,8,Persistence (baseline),2.6538461538461537,3.621516894256413,-0.5969020172910664,0.0,0.0,646,26,2002-12-17,2003-06-11
0,8,XGBoost,2.4983292726370006,3.27535859960356,-0.30621584910914423,0.033183250001457054,0.0003562920028343797,646,26,2002-12-17,2003-06-11
0,8,LightGBM,2.523429876909279,3.244042046545822,-0.28135712331337737,0.010512791999644833,0.00033208300010301173,646,26,2002-12-17,2003-06-11
1,8,Persistence (baseline),5.576923076923077,6.370001811375181,0.4334166442897569,0.0,0.0,672,26,2003-06-18,2003-12-10
1,8,XGBoost,6.255995126870962,7.237808753955601,0.2685259769530216,0.031754957999510225,0.00034070900073857047,672,26,2003-06-18,2003-12-10
1,8,LightGBM,5.487960246330392,6.311520178776297,0.4437722514663446,0.01020691699886811,0.00031879200105322525,672,26,2003-06-18,2003-12-10
