history_window,model,MAE,baseline_MAE,improvement_pct,beats_baseline,val_improvement_pct
1,XGBoost,7.981201633274984,7.258992805755396,-9.94916026018065,False,-3.572463289056412
1,LightGBM,7.093169307247148,7.258992805755396,2.284387144960002,True,-3.0938964037942887
2,XGBoost,7.697209622362535,7.258992805755396,-6.036881814508653,False,0.4894838809266803
2,LightGBM,7.513953844571701,7.258992805755396,-3.5123473137231382,False,-0.37982485200036775
4,XGBoost,7.558166594814054,7.258992805755396,-4.121422862155944,False,-0.6502534849528239
4,LightGBM,7.630832640873375,7.258992805755396,-5.122471464955307,False,4.379621084510201
8,XGBoost,8.92091070147727,7.258992805755396,-22.894607284969325,False,-0.35220144778796486
8,LightGBM,9.320971338394413,7.258992805755396,-28.405848963015202,False,6.345731981339541
12,XGBoost,8.607291134998952,7.258992805755396,-18.57417916400935,False,-2.345455970708141
12,LightGBM,9.824716799222312,7.258992805755396,-35.3454544194154,False,4.105064279245347
